ticker,company_name,cik,sic_code,classification,fiscal_year,fiscal_period,roe_percentage,roe_decimal,net_income,stockholders_equity,net_income_tag,equity_tag,data_quality_flags,processing_time_ms
"UGI","UGI Corporation Common Stock","0000884614","4932","Gas & Other Services Combined","2025","FY","8.19%","0.08187772925764192","375000000","4580000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1296"
"USEG","U.S. Energy Corp. Common Stock (DE)","0000101594","1311","Diversified Utility","2024","FY","-108.24%","-1.0824062801729566","-25784000","23821000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","637"
"UTL","UNITIL Corporation Common Stock","0000755001","4931","Electric & Other Services Combined","2024","FY","9.19%","0.09190243902439024","47100000","512500000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","603"
"VIASP","Via Renewables Inc. 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock","0001606268","4931","Electric & Other Services Combined","2024","FY","42.34%","0.4234037133052613","28255000","66733000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","337"
"VNOM","Viper Energy Inc. Class A Common Stock","0001602065","1311","Diversified Utility","2024","FY","21.29%","0.21294902193242443","359245000","1687000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","457"
"VST","Vistra Corp. Common Stock","0001692819","4911","Electric Services","2024","FY","47.74%","0.47737881508078994","2659000000","5570000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","524"
"VTLE","Vital Energy Inc. Common Stock par value $0.01 per share","0001528129","1311","Diversified Utility","2024","FY","-6.43%","-0.06425344862253204","-173521000","2700571000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","523"
"VTS","Vitesse Energy Inc. Common Stock","0001944558","1311","Diversified Utility","2024","FY","4.21%","0.04209188262240823","21060000","500334000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","320"
"WEC","WEC Energy Group Inc. Common Stock","0000783325","4931","Electric & Other Services Combined","2015","FY","7.37%","0.07372311518445171","640300000","8685200000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","1609"
"WMB","Williams Companies Inc. (The) Common Stock","0000107263","4922","Natural Gas Transmission","2024","FY","17.89%","0.17891605017690576","2225000000","12436000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","618"
"WTRG","Essential Utilities Inc. Common Stock","0000078128","4941","Diversified Utility","2024","FY","9.60%","0.0960368354630704","595314000","6198809000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","435"
"XEL","Xcel Energy Inc. Common Stock","0000072903","4931","Electric & Other Services Combined","2024","FY","9.92%","0.09917016699108698","1936000000","19522000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","639"
"XIFR","XPLR Infrastructure LP Common Units representing limited partner interests","0001603145","4911","Electric Services","2024","FY","-0.18%","-0.001787657391574693","-23000000","12866000000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest","","455"
"YORW","York Water Company (The) Common Stock","0000108985","4941","Diversified Utility","2024","FY","8.79%","0.08791394165888093","20325000","231192000","us-gaap:NetIncomeLoss","us-gaap:StockholdersEquity","","257"
